text,content_type,text_type,emotion_type
Подтвердите получение письма...,action,business,neutral
эксперты прогнозируют рост на 10%.,fact,news,neutral
Супер! Очень доволен!,emotion,review,joy
"Боюсь, что не успеем в срок.",emotion,business,fear
давай встретимся завтра.,action,chat,neutral
"Боюсь, что не успеем в срок...",emotion,business,fear
скачайте приложение бесплатно!,action,advertising,joy
Размер соответствует заявленному...,fact,review,neutral
Лучший день в моей жизни.,emotion,chat,joy
Невероятно счастлив!,emotion,chat,joy
"К сожалению, не оправдало ожиданий...",emotion,review,sadness
Прошу направить ответ до конца дня.,action,business,neutral
Отвратительное качество.,emotion,review,disgust
"окей, понял тебя.",fact,chat,neutral
Лучший день в моей жизни.,emotion,chat,joy
Расстроен результатом.,emotion,review,sadness
Вот это поворот!,emotion,chat,surprise
В штате компании 150 сотрудников.,fact,business,neutral
подпишитесь на канал!,action,advertising,neutral
Температура воздуха достигла 30 градусов.,fact,news,neutral
Гарантия на товар — 1 год...,fact,review,neutral
Индекс вырос на 5 пунктов за неделю.,fact,news,neutral
индекс вырос на 5 пунктов за неделю.,fact,news,neutral
Срок выполнения — 14 рабочих дней...,fact,business,neutral
Подтвердите получение письма...,action,business,neutral
Новый закон вступает в силу с января...,fact,news,neutral
Никогда больше не обращусь к вам.,emotion,review,anger
"Очень жаль, что так получилось.",emotion,chat,sadness
Не могу поверить своим глазам!,emotion,chat,surprise
"Ну такое себе, честно говоря.",emotion,chat,disgust
Супер. Очень доволен.,emotion,review,joy
обожаю эту вещь!,emotion,review,joy
тревожная ситуация складывается.,emotion,news,fear
выручка компании выросла на 15%.,fact,news,neutral
Давай встретимся завтра.,action,chat,neutral
Срок выполнения — 14 рабочих дней...,fact,business,neutral
Подтвердите получение письма...,action,business,neutral
Доставка заняла 3 дня.,fact,review,neutral
"Боюсь, что не успеем в срок...",emotion,business,fear
"По данным исследования, 80% опрошенных согласны...",fact,news,neutral
это возмутительно!,emotion,review,anger
Подпишитесь на канал.,action,advertising,neutral
Расстроен результатом.,emotion,review,sadness
Размер соответствует заявленному.,fact,review,neutral
"Окей, понял тебя...",fact,chat,neutral
Это возмутительно.,emotion,review,anger
"Окей, понял тебя...",fact,chat,neutral
"Прекрасный подарок, спасибо.",emotion,chat,joy
В комплекте идёт зарядное устройство...,fact,review,neutral
бюджет проекта — 2 миллиона рублей.,fact,business,neutral
грустно видеть такое качество.,emotion,review,sadness
Нажмите и узнайте секрет!,action,advertising,surprise
бюджет проекта — 2 миллиона рублей.,fact,business,neutral
"По данным исследования, 80% опрошенных согласны.",fact,news,neutral
"прекрасный подарок, спасибо!",emotion,chat,joy
Подпишитесь на канал!,action,advertising,neutral
доставка заняла 3 дня.,fact,review,neutral
обожаю эту вещь!,emotion,review,joy
Подтвердите получение письма.,action,business,neutral
"Ну такое себе, честно говоря...",emotion,chat,disgust
просим подготовить отчёт к понедельнику.,action,business,neutral
Ничего себе. Как такое возможно?,emotion,chat,surprise
"торопитесь, осталось мало!",action,advertising,fear
"Неожиданно, но приятно.",emotion,review,surprise
закажите и получите подарок!,action,advertising,joy
Новый закон вступает в силу с января...,fact,news,neutral
Тревожная ситуация складывается.,emotion,news,fear
Прошу направить ответ до конца дня...,action,business,neutral
Давай встретимся завтра...,action,chat,neutral
Фантастика! Всё работает идеально!,emotion,review,joy
необходимо согласовать документы.,action,business,neutral
Новый закон вступает в силу с января.,fact,news,neutral
Никогда больше не обращусь к вам.,emotion,review,anger
Это возмутительно!,emotion,review,anger
тревожная ситуация складывается.,emotion,news,fear
расстроен результатом.,emotion,review,sadness
размер соответствует заявленному.,fact,review,neutral
Фантастика! Всё работает идеально!,emotion,review,joy
привет! Как дела?,emotion,chat,joy
"Лол, это смешно!",emotion,chat,joy
"Неожиданно, но приятно!",emotion,review,surprise
Безобразие! Куда смотрит руководство?,emotion,review,anger
Выручка компании выросла на 15%...,fact,news,neutral
грустно видеть такое качество.,emotion,review,sadness
Грустно видеть такое качество.,emotion,review,sadness
Нажмите и узнайте секрет.,action,advertising,surprise
Это просто наглость.,emotion,review,anger
Противно даже смотреть на это...,emotion,review,disgust
я в полном восторге от покупки!,emotion,review,joy
Купите прямо сейчас со скидкой 50%.,action,advertising,neutral
Отвратительное качество!,emotion,review,disgust
получите доступ уже сегодня!,action,advertising,joy
Ничего себе! Как такое возможно?,emotion,chat,surprise
Не упустите свой шанс!,action,advertising,fear
договор заключён на 3 года.,fact,business,neutral
Назначьте встречу на завтра.,action,business,neutral
Эксперты прогнозируют рост на 10%.,fact,news,neutral
Это просто наглость.,emotion,review,anger
Я в полном восторге от покупки!,emotion,review,joy
Не упустите свой шанс.,action,advertising,fear
страшно представить последствия.,emotion,chat,fear
"Лол, это смешно!",emotion,chat,joy
фантастика! Всё работает идеально!,emotion,review,joy
Привет! Как дела?,emotion,chat,joy
Размер соответствует заявленному.,fact,review,neutral
"по данным исследования, 80% опрошенных согласны.",fact,news,neutral
курс доллара составил 90 рублей.,fact,news,neutral
Просим подготовить отчёт к понедельнику.,action,business,neutral
Противно даже смотреть на это.,emotion,review,disgust
Шок. Этого никто не ожидал.,emotion,news,surprise
"Печально, но факт.",emotion,chat,sadness
Давай встретимся завтра.,action,chat,neutral
подпишитесь на канал!,action,advertising,neutral
"окей, понял тебя.",fact,chat,neutral
Успейте купить по старой цене.,action,advertising,fear
тревожная ситуация складывается.,emotion,news,fear
Индекс вырос на 5 пунктов за неделю...,fact,news,neutral
Отвратительное качество!,emotion,review,disgust
Хватит издеваться над клиентами!,emotion,review,anger
нажмите и узнайте секрет!,action,advertising,surprise
новый закон вступает в силу с января.,fact,news,neutral
"ужасное обслуживание, фу!",emotion,review,disgust
Невероятно счастлив.,emotion,chat,joy
Новый закон вступает в силу с января...,fact,news,neutral
получите доступ уже сегодня!,action,advertising,joy
"Торопитесь, осталось мало.",action,advertising,fear
страшно представить последствия.,emotion,chat,fear
"Торопитесь, осталось мало!",action,advertising,fear
количество пользователей превысило миллион.,fact,news,neutral
Я в полном восторге от покупки!,emotion,review,joy
Никогда больше не обращусь к вам!,emotion,review,anger
Противно даже смотреть на это.,emotion,review,disgust
прошу направить ответ до конца дня.,action,business,neutral
"Ну такое себе, честно говоря...",emotion,chat,disgust
Это просто восхитительно.,emotion,review,joy
Срок выполнения — 14 рабочих дней.,fact,business,neutral
Спасибо за информацию.,emotion,chat,joy
Купите прямо сейчас со скидкой 50%!,action,advertising,neutral
"опасаюсь, что это не конец.",emotion,chat,fear
супер! Очень доволен!,emotion,review,joy
грустно видеть такое качество.,emotion,review,sadness
"скинь ссылку, пожалуйста.",action,chat,neutral
противно даже смотреть на это.,emotion,review,disgust
привет! Как дела?,emotion,chat,joy
Это просто восхитительно.,emotion,review,joy
"Прекрасный подарок, спасибо!",emotion,chat,joy
Ничего себе! Как такое возможно?,emotion,chat,surprise
Прошу направить ответ до конца дня...,action,business,neutral
Индекс вырос на 5 пунктов за неделю.,fact,news,neutral
